"MODZCTA","Positive","Total","date"
10001,113,265,"2020-04-01"
10002,250,542,"2020-04-01"
10003,161,379,"2020-04-01"
10004,16,38,"2020-04-01"
10005,25,81,"2020-04-01"
10006,6,24,"2020-04-01"
10007,26,67,"2020-04-01"
10009,181,450,"2020-04-01"
10010,101,282,"2020-04-01"
10011,222,487,"2020-04-01"
10012,68,183,"2020-04-01"
10013,122,255,"2020-04-01"
10014,140,305,"2020-04-01"
10016,288,581,"2020-04-01"
10017,45,138,"2020-04-01"
10018,66,151,"2020-04-01"
10019,187,451,"2020-04-01"
10021,211,562,"2020-04-01"
10022,123,339,"2020-04-01"
10023,190,503,"2020-04-01"
10024,204,641,"2020-04-01"
10025,252,754,"2020-04-01"
10026,126,300,"2020-04-01"
10027,170,422,"2020-04-01"
10028,189,476,"2020-04-01"
10029,290,668,"2020-04-01"
10030,106,204,"2020-04-01"
10031,217,405,"2020-04-01"
10032,308,548,"2020-04-01"
10033,264,495,"2020-04-01"
10034,108,262,"2020-04-01"
10035,147,345,"2020-04-01"
10036,116,275,"2020-04-01"
10037,109,204,"2020-04-01"
10038,76,167,"2020-04-01"
10039,116,226,"2020-04-01"
10040,208,356,"2020-04-01"
10044,49,116,"2020-04-01"
10065,121,385,"2020-04-01"
10069,24,57,"2020-04-01"
10075,160,371,"2020-04-01"
10128,212,596,"2020-04-01"
10280,17,50,"2020-04-01"
10282,21,42,"2020-04-01"
10301,175,333,"2020-04-01"
10302,61,137,"2020-04-01"
10303,106,221,"2020-04-01"
10304,289,540,"2020-04-01"
10305,178,428,"2020-04-01"
10306,278,632,"2020-04-01"
10307,67,142,"2020-04-01"
10308,146,331,"2020-04-01"
10309,170,363,"2020-04-01"
10310,97,218,"2020-04-01"
10312,336,654,"2020-04-01"
10314,452,959,"2020-04-01"
10451,337,585,"2020-04-01"
10452,367,629,"2020-04-01"
10453,386,663,"2020-04-01"
10454,174,343,"2020-04-01"
10455,176,351,"2020-04-01"
10456,355,693,"2020-04-01"
10457,306,571,"2020-04-01"
10458,332,622,"2020-04-01"
10459,227,423,"2020-04-01"
10460,255,484,"2020-04-01"
10461,376,714,"2020-04-01"
10462,377,768,"2020-04-01"
10463,253,654,"2020-04-01"
10464,25,65,"2020-04-01"
10465,267,596,"2020-04-01"
10466,362,666,"2020-04-01"
10467,638,1134,"2020-04-01"
10468,397,624,"2020-04-01"
10469,470,815,"2020-04-01"
10470,83,157,"2020-04-01"
10471,104,297,"2020-04-01"
10472,302,528,"2020-04-01"
10473,304,556,"2020-04-01"
10474,55,97,"2020-04-01"
10475,255,446,"2020-04-01"
11429,163,265,"2020-04-01"
11004,121,204,"2020-04-01"
11101,148,320,"2020-04-01"
11102,105,231,"2020-04-01"
11103,104,203,"2020-04-01"
11104,85,155,"2020-04-01"
11105,104,242,"2020-04-01"
11106,144,290,"2020-04-01"
11109,13,45,"2020-04-01"
11201,204,479,"2020-04-01"
11203,343,546,"2020-04-01"
11204,534,932,"2020-04-01"
11205,182,319,"2020-04-01"
11206,329,572,"2020-04-01"
11207,332,587,"2020-04-01"
11208,350,561,"2020-04-01"
11209,209,452,"2020-04-01"
11210,386,671,"2020-04-01"
11211,601,961,"2020-04-01"
11212,254,445,"2020-04-01"
11213,394,621,"2020-04-01"
11214,251,544,"2020-04-01"
11215,178,437,"2020-04-01"
11216,162,316,"2020-04-01"
11217,130,269,"2020-04-01"
11218,350,613,"2020-04-01"
11219,771,1146,"2020-04-01"
11220,264,459,"2020-04-01"
11221,260,455,"2020-04-01"
11222,96,236,"2020-04-01"
11223,346,642,"2020-04-01"
11224,133,304,"2020-04-01"
11225,267,427,"2020-04-01"
11226,344,600,"2020-04-01"
11228,101,222,"2020-04-01"
11229,316,640,"2020-04-01"
11230,631,1046,"2020-04-01"
11231,127,271,"2020-04-01"
11232,85,150,"2020-04-01"
11233,225,383,"2020-04-01"
11234,364,713,"2020-04-01"
11235,348,684,"2020-04-01"
11236,416,701,"2020-04-01"
11237,184,288,"2020-04-01"
11238,183,350,"2020-04-01"
11239,85,129,"2020-04-01"
11357,162,320,"2020-04-01"
11354,134,272,"2020-04-01"
11355,213,364,"2020-04-01"
11356,110,226,"2020-04-01"
11358,119,248,"2020-04-01"
11360,59,153,"2020-04-01"
11361,85,188,"2020-04-01"
11362,64,143,"2020-04-01"
11363,27,65,"2020-04-01"
11364,113,220,"2020-04-01"
11365,166,312,"2020-04-01"
11366,106,183,"2020-04-01"
11367,318,511,"2020-04-01"
11368,947,1227,"2020-04-01"
11369,331,454,"2020-04-01"
11370,378,777,"2020-04-01"
11372,492,693,"2020-04-01"
11373,831,1148,"2020-04-01"
11374,319,535,"2020-04-01"
11375,418,838,"2020-04-01"
11377,364,628,"2020-04-01"
11378,156,285,"2020-04-01"
11379,195,360,"2020-04-01"
11385,425,759,"2020-04-01"
11411,151,221,"2020-04-01"
11412,245,410,"2020-04-01"
11413,261,432,"2020-04-01"
11414,162,321,"2020-04-01"
11415,149,243,"2020-04-01"
11416,117,185,"2020-04-01"
11417,173,291,"2020-04-01"
11418,216,363,"2020-04-01"
11419,182,334,"2020-04-01"
11420,223,390,"2020-04-01"
11421,202,352,"2020-04-01"
11422,211,341,"2020-04-01"
11423,164,270,"2020-04-01"
11426,101,202,"2020-04-01"
11427,181,323,"2020-04-01"
11428,112,171,"2020-04-01"
11434,358,555,"2020-04-01"
11432,405,613,"2020-04-01"
11433,155,250,"2020-04-01"
11435,293,517,"2020-04-01"
11436,100,155,"2020-04-01"
11691,436,694,"2020-04-01"
11692,110,184,"2020-04-01"
11693,86,144,"2020-04-01"
11694,143,270,"2020-04-01"
11697,25,62,"2020-04-01"
