"MODZCTA","Total","Positive","zcta_cum.perc_pos","date"
10001,851,375,44.07,"2020-04-26"
10002,1962,978,49.85,"2020-04-26"
10003,1194,487,40.79,"2020-04-26"
10004,87,36,41.38,"2020-04-26"
10005,182,59,32.42,"2020-04-26"
10006,77,22,28.57,"2020-04-26"
10007,186,50,26.88,"2020-04-26"
10009,1606,660,41.1,"2020-04-26"
10010,834,277,33.21,"2020-04-26"
10011,1268,563,44.4,"2020-04-26"
10012,466,166,35.62,"2020-04-26"
10013,631,245,38.83,"2020-04-26"
10014,730,307,42.05,"2020-04-26"
10016,1864,727,39,"2020-04-26"
10017,454,155,34.14,"2020-04-26"
10018,524,215,41.03,"2020-04-26"
10019,1388,575,41.43,"2020-04-26"
10021,1568,580,36.99,"2020-04-26"
10022,1000,366,36.6,"2020-04-26"
10023,1567,561,35.8,"2020-04-26"
10024,1758,673,38.28,"2020-04-26"
10025,2927,1230,42.02,"2020-04-26"
10026,1315,584,44.41,"2020-04-26"
10027,1818,871,47.91,"2020-04-26"
10028,1396,514,36.82,"2020-04-26"
10029,3235,1650,51,"2020-04-26"
10030,881,452,51.31,"2020-04-26"
10031,1938,1113,57.43,"2020-04-26"
10032,2391,1297,54.25,"2020-04-26"
10033,2019,1144,56.66,"2020-04-26"
10034,1240,613,49.44,"2020-04-26"
10035,1637,865,52.84,"2020-04-26"
10036,925,396,42.81,"2020-04-26"
10037,776,382,49.23,"2020-04-26"
10038,529,233,44.05,"2020-04-26"
10039,944,464,49.15,"2020-04-26"
10040,1527,849,55.6,"2020-04-26"
10044,384,174,45.31,"2020-04-26"
10065,1055,328,31.09,"2020-04-26"
10069,154,56,36.36,"2020-04-26"
10075,1008,425,42.16,"2020-04-26"
10128,1846,649,35.16,"2020-04-26"
10280,147,41,27.89,"2020-04-26"
10282,190,101,53.16,"2020-04-26"
10301,2319,1083,46.7,"2020-04-26"
10302,1183,571,48.27,"2020-04-26"
10303,1711,811,47.4,"2020-04-26"
10304,2805,1348,48.06,"2020-04-26"
10305,2764,1198,43.34,"2020-04-26"
10306,3625,1476,40.72,"2020-04-26"
10307,971,418,43.05,"2020-04-26"
10308,1716,692,40.33,"2020-04-26"
10309,2206,894,40.53,"2020-04-26"
10310,1577,680,43.12,"2020-04-26"
10312,3605,1539,42.69,"2020-04-26"
10314,5921,2617,44.2,"2020-04-26"
10451,2687,1459,54.3,"2020-04-26"
10452,3530,1972,55.86,"2020-04-26"
10453,3559,1998,56.14,"2020-04-26"
10454,1839,979,53.24,"2020-04-26"
10455,1992,1098,55.12,"2020-04-26"
10456,3851,2104,54.64,"2020-04-26"
10457,3249,1773,54.57,"2020-04-26"
10458,3386,1768,52.22,"2020-04-26"
10459,2359,1332,56.46,"2020-04-26"
10460,2648,1418,53.55,"2020-04-26"
10461,3613,1780,49.27,"2020-04-26"
10462,4201,2100,49.99,"2020-04-26"
10463,3611,1646,45.58,"2020-04-26"
