"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10001,336,1403,23.95,"2020-05-19"
10002,978,2931,33.37,"2020-05-19"
10003,429,1999,21.46,"2020-05-19"
10004,29,134,21.64,"2020-05-19"
10005,58,341,17.01,"2020-05-19"
10006,23,143,16.08,"2020-05-19"
10007,50,318,15.72,"2020-05-19"
10009,655,2589,25.3,"2020-05-19"
10010,251,1493,16.81,"2020-05-19"
10011,492,2066,23.81,"2020-05-19"
10012,155,736,21.06,"2020-05-19"
10013,249,1135,21.94,"2020-05-19"
10014,283,1207,23.45,"2020-05-19"
10016,639,3043,21,"2020-05-19"
10017,132,757,17.44,"2020-05-19"
10018,200,723,27.66,"2020-05-19"
10019,559,2234,25.02,"2020-05-19"
10021,526,2491,21.12,"2020-05-19"
10022,327,1591,20.55,"2020-05-19"
10023,527,2609,20.2,"2020-05-19"
10024,614,2681,22.9,"2020-05-19"
10025,1171,4520,25.91,"2020-05-19"
10026,613,2092,29.3,"2020-05-19"
10027,961,3127,30.73,"2020-05-19"
10028,448,2188,20.48,"2020-05-19"
10029,1699,4806,35.35,"2020-05-19"
10030,470,1495,31.44,"2020-05-19"
10031,1223,3443,35.52,"2020-05-19"
10032,1388,3896,35.63,"2020-05-19"
10033,1246,3553,35.07,"2020-05-19"
10034,671,2331,28.79,"2020-05-19"
10035,906,2675,33.87,"2020-05-19"
10036,389,1530,25.42,"2020-05-19"
10037,510,1916,26.62,"2020-05-19"
10038,233,897,25.98,"2020-05-19"
10039,482,1553,31.04,"2020-05-19"
10040,1056,3016,35.01,"2020-05-19"
10044,225,686,32.8,"2020-05-19"
10065,316,1659,19.05,"2020-05-19"
10069,52,245,21.22,"2020-05-19"
10075,362,1441,25.12,"2020-05-19"
10128,603,2996,20.13,"2020-05-19"
10280,43,259,16.6,"2020-05-19"
10282,68,240,28.33,"2020-05-19"
10301,1095,3092,35.41,"2020-05-19"
10302,609,1541,39.52,"2020-05-19"
10303,815,2202,37.01,"2020-05-19"
10304,1324,3714,35.65,"2020-05-19"
10305,1181,3573,33.05,"2020-05-19"
10306,1396,4628,30.16,"2020-05-19"
10307,364,1180,30.85,"2020-05-19"
10308,613,2130,28.78,"2020-05-19"
10309,813,2664,30.52,"2020-05-19"
10310,701,2130,32.91,"2020-05-19"
10312,1444,4661,30.98,"2020-05-19"
10314,2543,7500,33.91,"2020-05-19"
10451,1532,4037,37.95,"2020-05-19"
10452,2206,5741,38.43,"2020-05-19"
10453,2230,5647,39.49,"2020-05-19"
10454,1070,3126,34.23,"2020-05-19"
10455,1192,3123,38.17,"2020-05-19"
10456,2350,6487,36.23,"2020-05-19"
10457,1952,5258,37.12,"2020-05-19"
10458,1921,5198,36.96,"2020-05-19"
10459,1417,3513,40.34,"2020-05-19"
10460,1559,4018,38.8,"2020-05-19"
10461,1818,5206,34.92,"2020-05-19"
10462,2165,6028,35.92,"2020-05-19"
10463,1817,5409,33.59,"2020-05-19"
10464,117,436,26.83,"2020-05-19"
10465,1442,4489,32.12,"2020-05-19"
10466,2237,5585,40.05,"2020-05-19"
10467,3163,7929,39.89,"2020-05-19"
10468,2560,6336,40.4,"2020-05-19"
10469,2828,6920,40.87,"2020-05-19"
10470,433,1402,30.88,"2020-05-19"
10471,759,2953,25.7,"2020-05-19"
10472,1837,4349,42.24,"2020-05-19"
10473,1818,4811,37.79,"2020-05-19"
10474,312,790,39.49,"2020-05-19"
10475,1628,4487,36.28,"2020-05-19"
11004,544,1128,48.23,"2020-05-19"
11101,588,2114,27.81,"2020-05-19"
11102,571,1800,31.72,"2020-05-19"
11103,521,1718,30.33,"2020-05-19"
11104,464,1426,32.54,"2020-05-19"
11105,464,1733,26.77,"2020-05-19"
11106,607,1936,31.35,"2020-05-19"
11109,46,280,16.43,"2020-05-19"
11201,640,2869,22.31,"2020-05-19"
11203,1933,4918,39.3,"2020-05-19"
11204,1899,6005,31.62,"2020-05-19"
11205,681,2451,27.78,"2020-05-19"
11206,1489,4668,31.9,"2020-05-19"
11207,1948,5409,36.01,"2020-05-19"
11208,2207,5624,39.24,"2020-05-19"
11209,1084,3690,29.38,"2020-05-19"
11210,1584,4218,37.55,"2020-05-19"
11211,1975,6665,29.63,"2020-05-19"
11212,1711,4776,35.82,"2020-05-19"
11213,1293,3526,36.67,"2020-05-19"
11214,1450,4059,35.72,"2020-05-19"
11215,586,2464,23.78,"2020-05-19"
11216,685,2377,28.82,"2020-05-19"
11217,585,1829,31.98,"2020-05-19"
11218,1614,4586,35.19,"2020-05-19"
11219,2841,10088,28.16,"2020-05-19"
11220,1430,3864,37.01,"2020-05-19"
11221,1214,3666,33.12,"2020-05-19"
11222,418,1647,25.38,"2020-05-19"
11223,1614,4635,34.82,"2020-05-19"
11224,1082,2984,36.26,"2020-05-19"
11225,1098,3032,36.21,"2020-05-19"
11226,2106,5497,38.31,"2020-05-19"
11228,614,1849,33.21,"2020-05-19"
11229,1482,4416,33.56,"2020-05-19"
11230,2187,6332,34.54,"2020-05-19"
11231,394,1408,27.98,"2020-05-19"
